"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-10",,,"24.6","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-11",,,"26.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-12",,,"23.7","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-13",,,"24.5","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-14",,,"23.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-15",,,"24.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-16",,,"25.8","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-17",,,"24.9","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-18",,,"24.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-19",,,"22.8","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-20",,,"21.5","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-21",,,"24.1","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-22",,,"25.9","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-23",,,"24.7","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-24",,,"26.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-25",,,"26.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-26",,,"26.0","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-27",,,"24.1","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-02-28",,,"26.1","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-01",,,"30.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-02",,,"25.9","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-03",,,"26.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-04",,,"29.2","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-05",,,"29.9","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-06",,,"28.4","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-07",,,"24.9","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-08",,,"24.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-09",,,"26.0","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-10",,,"25.9","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-11",,,"27.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-12",,,"27.4","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-13",,,"28.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-14",,,"26.2","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-15",,,"26.8","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-16",,,"26.9","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-17",,,"30.2","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-18",,,"29.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-19",,,"28.8","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-20",,,"29.2","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-21",,,"30.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-22",,,"28.9","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-23",,,"29.1","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-24",,,"29.1","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-25",,,"28.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-26",,,"28.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-27",,,"27.2","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-28",,,"26.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-29",,,"26.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-30",,,"27.0","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-01-31",,,"29.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-01",,,"27.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-02",,,"25.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-03",,,"29.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-04",,,"31.2","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-05",,,"31.1","H,,S",,,,
