--------------------
BDMEP - INMET
--------------------
Estação           : CUIABA - MT (OMM: 83361)
Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Altitude  (metros): 145.00
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2017 a 12/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;
83361;14/06/2017;0000;34.5;
83361;15/06/2017;0000;35.6;
83361;16/06/2017;0000;35.4;
83361;17/06/2017;0000;33.9;
83361;18/06/2017;0000;33.9;
83361;19/06/2017;0000;25;
83361;20/06/2017;0000;21.5;
83361;21/06/2017;0000;29;
83361;22/06/2017;0000;34.1;
83361;23/06/2017;0000;35;
83361;24/06/2017;0000;34.3;
83361;25/06/2017;0000;33;
83361;26/06/2017;0000;34.3;
83361;27/06/2017;0000;33.5;
83361;28/06/2017;0000;33.3;
83361;29/06/2017;0000;31.4;
83361;30/06/2017;0000;34.3;
83361;01/07/2017;0000;33.1;
83361;02/07/2017;0000;31.9;
83361;03/07/2017;0000;33.2;
83361;04/07/2017;0000;33.4;
83361;05/07/2017;0000;34.3;
83361;06/07/2017;0000;33.3;
83361;07/07/2017;0000;33.3;
83361;08/07/2017;0000;35.5;
83361;09/07/2017;0000;35.6;
83361;10/07/2017;0000;34.6;
83361;11/07/2017;0000;34.1;
83361;12/07/2017;0000;34.4;
83361;13/07/2017;0000;35;
83361;14/07/2017;0000;35.1;
83361;15/07/2017;0000;33.4;
83361;16/07/2017;0000;34.1;
83361;17/07/2017;0000;24;
83361;18/07/2017;0000;19;
83361;19/07/2017;0000;24.5;
83361;20/07/2017;0000;30.7;
83361;21/07/2017;0000;33.8;
83361;22/07/2017;0000;34.9;
83361;23/07/2017;0000;36.4;
83361;24/07/2017;0000;36.8;
83361;25/07/2017;0000;35.9;
83361;26/07/2017;0000;35.2;
83361;27/07/2017;0000;33.6;
83361;28/07/2017;0000;34.2;
83361;29/07/2017;0000;34.7;
83361;30/07/2017;0000;35.1;
83361;31/07/2017;0000;34.9;
83361;01/08/2017;0000;34.9;
83361;02/08/2017;0000;36;
83361;03/08/2017;0000;26.7;
83361;04/08/2017;0000;30.5;
83361;05/08/2017;0000;35.3;
83361;06/08/2017;0000;36;
83361;07/08/2017;0000;38.1;
83361;08/08/2017;0000;38.4;
83361;09/08/2017;0000;38.7;
83361;10/08/2017;0000;39.3;
83361;11/08/2017;0000;39;
83361;12/08/2017;0000;38.6;
83361;13/08/2017;0000;36.2;
83361;14/08/2017;0000;34.3;
83361;15/08/2017;0000;36.1;
83361;16/08/2017;0000;35.2;
83361;17/08/2017;0000;33.1;
83361;18/08/2017;0000;34.1;
83361;19/08/2017;0000;37.6;
83361;20/08/2017;0000;33.9;
83361;21/08/2017;0000;27.4;
83361;22/08/2017;0000;34.2;
83361;23/08/2017;0000;37.4;
