--------------------
BDMEP - INMET
--------------------
Estação           : CABROBO - PE (OMM: 82886)
Latitude  (graus) : -8.51
Longitude (graus) : -39.33
Altitude  (metros): 341.46
Estação Operante
Inicio de operação: 17/10/1927
Periodo solicitado dos dados: 01/01/2017 a 12/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;
82886;30/06/2017;1200;1;
82886;01/07/2017;1200;12;
82886;02/07/2017;1200;0.4;
82886;03/07/2017;1200;0;
82886;04/07/2017;1200;3.6;
82886;05/07/2017;1200;0;
82886;06/07/2017;1200;0.2;
82886;07/07/2017;1200;0;
82886;08/07/2017;1200;0;
82886;09/07/2017;1200;2.8;
82886;10/07/2017;1200;0;
82886;11/07/2017;1200;0.2;
82886;12/07/2017;1200;0.4;
82886;13/07/2017;1200;0;
82886;14/07/2017;1200;1;
82886;15/07/2017;1200;0;
82886;16/07/2017;1200;0;
82886;17/07/2017;1200;0;
82886;18/07/2017;1200;0;
82886;19/07/2017;1200;0;
82886;20/07/2017;1200;0;
82886;21/07/2017;1200;0;
82886;22/07/2017;1200;0;
82886;23/07/2017;1200;0;
82886;24/07/2017;1200;2.8;
82886;25/07/2017;1200;1.2;
82886;26/07/2017;1200;0;
82886;27/07/2017;1200;0;
82886;28/07/2017;1200;0;
82886;29/07/2017;1200;0.2;
82886;30/07/2017;1200;0.8;
82886;31/07/2017;1200;0.2;
82886;01/08/2017;1200;0;
82886;02/08/2017;1200;0;
82886;03/08/2017;1200;0;
82886;04/08/2017;1200;0;
82886;05/08/2017;1200;0;
82886;06/08/2017;1200;0;
82886;07/08/2017;1200;0;
82886;08/08/2017;1200;0;
82886;09/08/2017;1200;0;
82886;10/08/2017;1200;0;
82886;11/08/2017;1200;0;
82886;12/08/2017;1200;0;
82886;13/08/2017;1200;0;
82886;14/08/2017;1200;0;
82886;15/08/2017;1200;0;
82886;16/08/2017;1200;0;
82886;17/08/2017;1200;0;
82886;18/08/2017;1200;0;
82886;19/08/2017;1200;0;
82886;20/08/2017;1200;0;
82886;21/08/2017;1200;0;
82886;25/08/2017;1200;0;
82886;26/08/2017;1200;0;
82886;27/08/2017;1200;0;
82886;28/08/2017;1200;0;
82886;29/08/2017;1200;0;
82886;30/08/2017;1200;0;
82886;31/08/2017;1200;0;
82886;01/09/2017;1200;0;
82886;02/09/2017;1200;0.2;
82886;03/09/2017;1200;0;
82886;04/09/2017;1200;0;
82886;05/09/2017;1200;1.6;
82886;06/09/2017;1200;0;
82886;07/09/2017;1200;0;
82886;08/09/2017;1200;0;
82886;09/09/2017;1200;0;
82886;10/09/2017;1200;1.6;
82886;11/09/2017;1200;3.4;
82886;12/09/2017;1200;0.2;
82886;13/09/2017;1200;0;
82886;14/09/2017;1200;0;
82886;15/09/2017;1200;0;
82886;16/09/2017;1200;0.6;
82886;17/09/2017;1200;0;
82886;18/09/2017;1200;0;
82886;19/09/2017;1200;0.1;
82886;20/09/2017;1200;0.3;
82886;21/09/2017;1200;0;
82886;22/09/2017;1200;4.2;
82886;23/09/2017;1200;1;
82886;24/09/2017;1200;0;
82886;25/09/2017;1200;0.1;
82886;26/09/2017;1200;0.4;
82886;27/09/2017;1200;0;
82886;28/09/2017;1200;0.1;
82886;29/09/2017;1200;0;
82886;30/09/2017;1200;0;
82886;01/10/2017;1200;0;
82886;02/10/2017;1200;0;
82886;03/10/2017;1200;0;
82886;04/10/2017;1200;0;
82886;05/10/2017;1200;0;
82886;06/10/2017;1200;0;
82886;07/10/2017;1200;0;
82886;08/10/2017;1200;0;
82886;09/10/2017;1200;0;
82886;10/10/2017;1200;0;
82886;11/10/2017;1200;0;
82886;12/10/2017;1200;0;
