--------------------
BDMEP - INMET
--------------------
Estação           : ARCOVERDE - PE (OMM: 82890)
Latitude  (graus) : -8.41
Longitude (graus) : -37.08
Altitude  (metros): 680.70
Estação Operante
Inicio de operação: 01/02/1973
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82890;28/02/2000;0000;;30;;8.2;77;
82890;28/02/2000;1200;0;;18.8;;;
82890;29/02/2000;0000;;29.2;;6.1;82.5;
82890;29/02/2000;1200;0;;18.4;;;
82890;01/03/2000;0000;;30.6;;6.7;83.5;
82890;01/03/2000;1200;0.5;;19.6;;;
82890;02/03/2000;0000;;30.6;;7.1;82.25;
82890;02/03/2000;1200;0;;19.8;;;
82890;03/03/2000;0000;;29.7;;4.3;79.5;
82890;03/03/2000;1200;0;;19.2;;;
82890;04/03/2000;0000;;31.4;;7.4;87.75;
82890;04/03/2000;1200;0;;20.6;;;
82890;05/03/2000;0000;;29.8;;9.3;80.5;
82890;05/03/2000;1200;16;;19.3;;;
82890;06/03/2000;0000;;30.2;;8.8;80;
82890;06/03/2000;1200;3;;18.8;;;
82890;07/03/2000;0000;;30.6;;6.8;92.25;
82890;07/03/2000;1200;0;;19.1;;;
82890;08/03/2000;0000;;30.8;;7.7;87;
82890;08/03/2000;1200;1.8;;20.2;;;
82890;09/03/2000;0000;;31.4;;9.9;82;
82890;09/03/2000;1200;9.2;;19.4;;;
82890;10/03/2000;0000;;31;;8.7;83.25;
82890;10/03/2000;1200;0;;20.6;;;
82890;11/03/2000;0000;;32.4;;10.3;82.5;
82890;11/03/2000;1200;0;;18;;;
82890;12/03/2000;0000;;32.4;;9.9;76;
82890;12/03/2000;1200;1.3;;18.2;;;
82890;13/03/2000;0000;;33;;8.6;84;
82890;13/03/2000;1200;0;;19.9;;;
82890;14/03/2000;0000;;29.8;;6.8;89.75;
82890;14/03/2000;1200;7.6;;20.2;;;
82890;15/03/2000;0000;;30.8;;9.4;77.25;
82890;15/03/2000;1200;9.8;;20;;;
82890;16/03/2000;0000;;29.2;;8.8;71.75;
82890;16/03/2000;1200;0;;19.4;;;
82890;17/03/2000;0000;;31;;11;68;
82890;17/03/2000;1200;0;;18.6;;;
82890;18/03/2000;0000;;30.6;;5.5;73.25;
82890;18/03/2000;1200;0;;20.4;;;
82890;19/03/2000;0000;;28.4;;3.1;93;
82890;19/03/2000;1200;14;;19.2;;;
82890;20/03/2000;0000;;29.4;;10.8;85.25;
82890;20/03/2000;1200;6.2;;20.2;;;
82890;21/03/2000;0000;;28.7;;10.3;85;
82890;21/03/2000;1200;0;;19;;;
82890;22/03/2000;0000;;30.2;;10.9;82.75;
82890;22/03/2000;1200;0;;17.6;;;
82890;23/03/2000;0000;;30.8;;9.6;82.5;
82890;23/03/2000;1200;0;;19.6;;;
82890;24/03/2000;0000;;30.6;;9;84;
82890;24/03/2000;1200;0;;20.2;;;
82890;25/03/2000;0000;;30.6;;9.8;78;
82890;25/03/2000;1200;;;19.8;;;
82890;26/03/2000;0000;;30;;4.3;82;
82890;26/03/2000;1200;0;;20;;;
82890;27/03/2000;0000;;31.3;;7.7;86.75;
82890;27/03/2000;1200;0;;19.2;;;
82890;28/03/2000;0000;;30.6;;7.8;80.75;
82890;28/03/2000;1200;0.8;;18.8;;;
82890;29/03/2000;0000;;31.3;;9.3;78.5;
82890;29/03/2000;1200;0;;19.4;;;
82890;30/03/2000;0000;;30.2;;4.2;80;
82890;30/03/2000;1200;0;;18.2;;;
82890;31/03/2000;0000;;29.4;;4.6;91;
82890;31/03/2000;1200;0;;18.6;;;
82890;01/04/2000;0000;;30;;8.6;85.5;
82890;01/04/2000;1200;33.5;;19.6;;;
82890;02/04/2000;0000;;29.4;;9.6;81;
82890;02/04/2000;1200;0.7;;20.2;;;
82890;03/04/2000;0000;;29.4;;10.9;75.5;
82890;03/04/2000;1200;0;;19;;;
82890;04/04/2000;0000;;30;;9.6;83.25;
82890;04/04/2000;1200;0;;19;;;
82890;05/04/2000;0000;;30.6;;9.4;75;
82890;05/04/2000;1200;0.3;;18;;;
82890;06/04/2000;0000;;30.2;;6.7;78;
82890;06/04/2000;1200;0;;19;;;
82890;07/04/2000;0000;;30.8;;10.5;74.25;
82890;07/04/2000;1200;0.7;;18.8;;;
82890;08/04/2000;0000;;30.8;;8;79.75;
82890;08/04/2000;1200;0;;19.4;;;
82890;09/04/2000;0000;;29.4;;7.5;82.5;
82890;09/04/2000;1200;4.4;;19.8;;;
82890;10/04/2000;0000;;29.3;;7.2;78;
82890;10/04/2000;1200;0;;19.8;;;
82890;11/04/2000;0000;;29.4;;7.6;86;
82890;11/04/2000;1200;0;;17.8;;;
82890;12/04/2000;0000;;31;;7.8;81.5;
82890;12/04/2000;1200;0.4;;19.4;;;
82890;13/04/2000;0000;;30.4;;6.9;84;
82890;13/04/2000;1200;4.4;;20.2;;;
82890;14/04/2000;0000;;28.2;;7.8;85.5;
82890;14/04/2000;1200;10.3;;18.8;;;
82890;15/04/2000;0000;;30;;5.1;92.25;
82890;15/04/2000;1200;0;;20;;;
82890;16/04/2000;0000;;29.6;;4.5;91;
82890;16/04/2000;1200;7;;20.2;;;
82890;17/04/2000;0000;;27.2;;4.5;91.25;
82890;17/04/2000;1200;25.3;;20.2;;;
82890;18/04/2000;0000;;28.4;;9.8;84.5;
82890;18/04/2000;1200;4.3;;19.8;;;
82890;19/04/2000;0000;;29;;10.2;86;
82890;19/04/2000;1200;0;;19.6;;;
82890;20/04/2000;0000;;29.2;;8.9;;
82890;20/04/2000;1200;5.9;;20.3;;;
82890;21/04/2000;0000;;30.4;;9.3;85.5;
82890;21/04/2000;1200;28.2;;19.4;;;
82890;22/04/2000;0000;;30.3;;9.1;81.5;
82890;22/04/2000;1200;0;;19.4;;;
82890;23/04/2000;0000;;29.8;;10.7;82.5;
82890;23/04/2000;1200;1.5;;18.6;;;
82890;24/04/2000;0000;;28.9;;10.2;81;
82890;24/04/2000;1200;0;;18.2;;;
82890;25/04/2000;0000;;27.8;;0;95;
82890;25/04/2000;1200;0;;18.4;;;
82890;26/04/2000;0000;;24;;1;95;
82890;26/04/2000;1200;5;;18.4;;;
82890;27/04/2000;0000;;27.4;;9.7;88.25;
82890;27/04/2000;1200;4;;18.4;;;
82890;28/04/2000;0000;;28.6;;9.4;85.25;
82890;28/04/2000;1200;0;;19;;;
82890;29/04/2000;0000;;27.8;;6.2;84.75;
82890;29/04/2000;1200;0;;19.2;;;
82890;30/04/2000;0000;;28.6;;9.4;78;
82890;30/04/2000;1200;0;;18.8;;;
82890;01/05/2000;0000;;27.2;;4;86.75;
82890;01/05/2000;1200;0;;17.4;;;
82890;02/05/2000;0000;;27.4;;7.3;89.25;
82890;02/05/2000;1200;0;;19;;;
82890;03/05/2000;0000;;26.8;;4.6;93.25;
82890;03/05/2000;1200;6;;18.9;;;
82890;04/05/2000;0000;;26.6;;3.9;88;
82890;04/05/2000;1200;5;;19;;;
82890;05/05/2000;0000;;27.8;;7.7;86;
82890;05/05/2000;1200;0.2;;18.8;;;
82890;06/05/2000;0000;;26.4;;3.4;93;
82890;06/05/2000;1200;5;;18;;;
82890;07/05/2000;0000;;27.7;;5.9;89.5;
82890;07/05/2000;1200;2.4;;20;;;
82890;08/05/2000;0000;;27.9;;9.3;88.75;
82890;08/05/2000;1200;0.2;;19.6;;;
82890;09/05/2000;0000;;28.8;;7.3;90;
82890;09/05/2000;1200;0.5;;20;;;
82890;10/05/2000;0000;;29.6;;8.4;81.75;
82890;10/05/2000;1200;0;;17.2;;;
82890;11/05/2000;0000;;29.2;;10.7;78.5;
82890;11/05/2000;1200;0;;17;;;
82890;12/05/2000;0000;;26;;5.6;92.5;
82890;12/05/2000;1200;0;;18.6;;;
82890;13/05/2000;0000;;25.6;;3;94.75;
82890;13/05/2000;1200;1.8;;18.2;;;
82890;14/05/2000;0000;;25.6;;5.1;86.25;
82890;14/05/2000;1200;2.8;;18.2;;;
82890;15/05/2000;0000;;27.6;;10.2;77.25;
82890;15/05/2000;1200;0;;17.4;;;
82890;16/05/2000;0000;;26.2;;1.7;87.75;
82890;16/05/2000;1200;0;;17.2;;;
82890;17/05/2000;0000;;28.6;;2;88.25;
82890;17/05/2000;1200;0;;19.6;;;
82890;18/05/2000;0000;;29.4;;8.5;81.5;
82890;18/05/2000;1200;0.2;;19.7;;;
82890;19/05/2000;0000;;31;;7.6;75.5;
82890;19/05/2000;1200;;;19.2;;;
82890;20/05/2000;0000;;30.5;;10.6;78.5;
82890;20/05/2000;1200;0;;16.3;;;
82890;21/05/2000;0000;;29.4;;8.7;83.75;
82890;21/05/2000;1200;0;;15.2;;;
82890;22/05/2000;0000;;27.2;;5.6;90.25;
82890;22/05/2000;1200;0;;16.4;;;
82890;23/05/2000;0000;;28.7;;7;81.25;
82890;23/05/2000;1200;2.7;;18.6;;;
82890;24/05/2000;0000;;27.2;;9.8;80.5;
82890;24/05/2000;1200;0.8;;17.7;;;
82890;25/05/2000;0000;;28;;8.4;91.75;
82890;25/05/2000;1200;0;;17.9;;;
82890;26/05/2000;0000;;30.2;;10.4;92;
82890;26/05/2000;1200;0;;16.3;;;
82890;27/05/2000;0000;;30.6;;9.9;90.5;
82890;27/05/2000;1200;0;;16.2;;;
82890;28/05/2000;0000;;30.4;;10.7;89.5;
82890;28/05/2000;1200;0;;16.5;;;
82890;29/05/2000;0000;;33;;10;89.25;
82890;29/05/2000;1200;0;;17.4;;;
82890;30/05/2000;0000;;30.8;;10;90;
82890;30/05/2000;1200;0;;20.1;;;
82890;31/05/2000;0000;;28.2;;4.4;92.25;
82890;31/05/2000;1200;0;;16.7;;;
82890;01/06/2000;0000;;30.2;;3.5;;
82890;01/06/2000;1200;0;;16.8;;;
82890;02/06/2000;0000;;30.9;;10.1;;
82890;02/06/2000;1200;0;;19.5;;;
82890;03/06/2000;0000;;29;;10.4;;
82890;03/06/2000;1200;0;;18.7;;;
82890;04/06/2000;0000;;29.4;;10;;
82890;04/06/2000;1200;0;;17;;;
82890;05/06/2000;0000;;27.4;;6.3;94.5;
82890;05/06/2000;1200;0.3;;19.1;;;
82890;06/06/2000;0000;;23.4;;0.2;;
82890;06/06/2000;1200;20.2;;18.6;;;
82890;07/06/2000;0000;;22.5;;0.1;;
82890;07/06/2000;1200;12.2;;18.5;;;
82890;08/06/2000;0000;;22.4;;0.5;;
82890;08/06/2000;1200;9.5;;18.3;;;
82890;09/06/2000;0000;;26.4;;5.6;;
82890;09/06/2000;1200;22.1;;18.7;;;
82890;10/06/2000;0000;;24.7;;2.5;;
82890;10/06/2000;1200;0;;17.7;;;
82890;11/06/2000;0000;;26.6;;4.6;;
82890;11/06/2000;1200;0.5;;18.4;;;
82890;12/06/2000;0000;;26.7;;10.2;95;
82890;12/06/2000;1200;7.2;;17.4;;;
82890;13/06/2000;0000;;25.3;;3.7;;
82890;13/06/2000;1200;0;;18.2;;;
82890;14/06/2000;0000;;25.2;;5.6;;
82890;14/06/2000;1200;5.9;;18.9;;;
82890;15/06/2000;0000;;24.6;;4.9;;
82890;15/06/2000;1200;4.7;;18.4;;;
82890;16/06/2000;0000;;24.6;;0;;
82890;16/06/2000;1200;4.3;;18.3;;;
82890;17/06/2000;0000;;26.2;;8.1;;
82890;17/06/2000;1200;5.4;;18.2;;;
82890;18/06/2000;0000;;26.9;;6.4;96.5;
82890;18/06/2000;1200;0.2;;19.5;;;
82890;19/06/2000;0000;;27.3;;6.9;;
82890;19/06/2000;1200;0;;18.1;;;
82890;20/06/2000;0000;;26.4;;9.7;;
82890;20/06/2000;1200;3.6;;18.5;;;
82890;21/06/2000;0000;;27.4;;10.4;;
82890;21/06/2000;1200;0;;17.3;;;
82890;22/06/2000;0000;;28.5;;9.1;;
82890;22/06/2000;1200;0;;17.8;;;
82890;23/06/2000;0000;;28.4;;9.3;;
82890;23/06/2000;1200;3;;17.9;;;
